#{"t_start": 1774254100.7553623, "env_id": "CartPole-v1"}
r,l,t
10.0,10,4.53401
10.0,10,4.55139
11.0,11,4.567091
11.0,11,4.58164
11.0,11,4.594069
10.0,10,4.611465
11.0,11,4.631463
10.0,10,4.642401
10.0,10,4.65607
11.0,11,4.671641
10.0,10,4.685771
11.0,11,4.698064
9.0,9,4.706215
13.0,13,4.719129
9.0,9,4.727154
9.0,9,4.736734
14.0,14,4.748054
11.0,11,4.759662
11.0,11,4.768748
11.0,11,4.777771
14.0,14,4.790555
13.0,13,4.803041
9.0,9,4.811074
12.0,12,4.822933
9.0,9,4.835546
12.0,12,4.850778
10.0,10,4.860327
8.0,8,4.868487
11.0,11,4.879434
11.0,11,4.892348
11.0,11,4.903333
10.0,10,4.916108
11.0,11,4.92754
15.0,15,4.940402
9.0,9,4.951109
11.0,11,4.96111
11.0,11,4.971423
11.0,11,4.983974
11.0,11,4.996568
12.0,12,5.009306
10.0,10,5.020071
9.0,9,5.032193
10.0,10,5.0437
9.0,9,5.054201
8.0,8,5.061426
12.0,12,5.074815
10.0,10,5.085486
11.0,11,5.093856
9.0,9,5.104645
12.0,12,5.116934
11.0,11,5.125633
9.0,9,5.135337
9.0,9,5.142735
10.0,10,5.153773
12.0,12,5.165691
9.0,9,5.175639
12.0,12,5.186477
10.0,10,5.198574
12.0,12,5.209992
8.0,8,5.217295
12.0,12,5.23007
11.0,11,5.242922
12.0,12,5.255013
11.0,11,5.269197
9.0,9,5.276947
9.0,9,5.287508
10.0,10,5.299476
10.0,10,5.307987
14.0,14,5.323625
10.0,10,5.335295
9.0,9,5.34451
11.0,11,5.357562
10.0,10,5.369213
12.0,12,5.384696
9.0,9,5.392017
12.0,12,5.403416
9.0,9,5.411345
11.0,11,5.424259
10.0,10,5.432473
10.0,10,5.443216
11.0,11,5.453918
11.0,11,5.465023
11.0,11,5.478133
11.0,11,5.491357
12.0,12,5.501678
9.0,9,5.510872
10.0,10,5.52086
10.0,10,5.528767
10.0,10,5.538832
10.0,10,5.549267
11.0,11,5.5593
9.0,9,5.567454
11.0,11,5.577526
11.0,11,5.589792
10.0,10,5.598152
11.0,11,5.608394
13.0,13,5.619974
11.0,11,5.632411
13.0,13,5.642765
9.0,9,5.650413
11.0,11,5.66071
10.0,10,5.672003
10.0,10,5.679991
13.0,13,5.69052
9.0,9,5.699989
12.0,12,5.71182
11.0,11,5.720033
10.0,10,5.730583
11.0,11,5.740916
9.0,9,5.749908
12.0,12,5.762084
10.0,10,5.76993
9.0,9,5.78663
10.0,10,5.796664
10.0,10,5.808084
9.0,9,5.815856
10.0,10,5.824576
9.0,9,5.837182
12.0,12,5.848497
9.0,9,5.857
10.0,10,5.865151
12.0,12,5.876893
11.0,11,5.887729
12.0,12,5.899623
9.0,9,5.907449
13.0,13,5.922714
9.0,9,5.930701
11.0,11,5.940778
10.0,10,5.952601
9.0,9,5.963097
12.0,12,5.974783
10.0,10,5.984803
10.0,10,5.993995
11.0,11,6.007647
11.0,11,6.017625
11.0,11,6.028636
10.0,10,6.036816
10.0,10,6.049281
11.0,11,6.057644
10.0,10,6.06777
12.0,12,6.079149
11.0,11,6.094759
11.0,11,6.104366
9.0,9,6.114434
11.0,11,6.126439
10.0,10,6.139272
9.0,9,6.14643
9.0,9,6.154752
9.0,9,6.167266
12.0,12,6.182963
9.0,9,6.191566
11.0,11,6.202015
9.0,9,6.209558
10.0,10,6.218763
9.0,9,6.229939
11.0,11,6.237851
11.0,11,6.248673
11.0,11,6.26077
11.0,11,6.271694
8.0,8,6.279777
10.0,10,6.289704
11.0,11,6.301961
11.0,11,6.312325
9.0,9,6.320148
9.0,9,6.327839
11.0,11,6.339966
12.0,12,6.351045
11.0,11,6.361494
11.0,11,6.372087
10.0,10,6.383749
9.0,9,6.391482
11.0,11,6.402398
12.0,12,6.415383
11.0,11,6.428602
10.0,10,6.436525
10.0,10,6.447507
10.0,10,6.455711
10.0,10,6.47127
9.0,9,6.480056
9.0,9,6.488456
9.0,9,6.496448
11.0,11,6.511556
11.0,11,6.523866
9.0,9,6.530762
9.0,9,6.539001
11.0,11,6.553455
11.0,11,6.566824
12.0,12,6.577096
16.0,16,6.589951
10.0,10,6.600511
10.0,10,6.613188
11.0,11,6.622836
9.0,9,6.631555
11.0,11,6.646345
9.0,9,6.657367
8.0,8,6.664852
9.0,9,6.67246
11.0,11,6.684912
8.0,8,6.694625
11.0,11,6.707653
9.0,9,6.715405
10.0,10,6.725008
10.0,10,6.736602
11.0,11,6.749426
9.0,9,6.758694
9.0,9,6.768641
9.0,9,6.776869
9.0,9,6.786774
9.0,9,6.794568
12.0,12,6.807048
11.0,11,6.817108
10.0,10,6.824693
11.0,11,6.835029
10.0,10,6.844914
11.0,11,6.855577
11.0,11,6.866875
8.0,8,6.873827
10.0,10,6.882849
10.0,10,6.892153
12.0,12,6.904718
10.0,10,6.913424
9.0,9,6.925388
9.0,9,6.934147
11.0,11,6.947529
12.0,12,6.959584
9.0,9,6.969702
11.0,11,6.980031
10.0,10,6.988744
9.0,9,6.995952
9.0,9,7.007326
10.0,10,7.015235
10.0,10,7.024562
10.0,10,7.032096
10.0,10,7.04326
12.0,12,7.054494
12.0,12,7.06556
11.0,11,7.073957
11.0,11,7.087528
10.0,10,7.098083
11.0,11,7.106803
10.0,10,7.118544
12.0,12,7.133554
11.0,11,7.14692
11.0,11,7.159364
9.0,9,7.173254
11.0,11,7.185889
10.0,10,7.198278
10.0,10,7.207973
12.0,12,7.219385
